save_id,timestamp_epoch_s,block_index,frequency_minus_mhz,frequency_plus_mhz,intensity_minus,intensity_plus,delta_B_projection_mT,delta_B_projection_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,measurement_axis_x,measurement_axis_y,measurement_axis_z,sensitivity_norm_mhz_per_mT,slope_denom_abs,transition_index
000000,0.0063363122753798,1,2715.9999938964847,2720.771614496614,1.0364657214263977,1.0565719302537988,-0.024701853864835914,-24.701853864835915,0.5466353525562646,19.120156162035585,-15.630176022374712,-0.02212932501128679,-0.774037295607756,0.6327531572286118,28.09438821489945,0.028972172444359887,0
000000,0.0063363122753798,2,2770.99997291565,2777.6248020826647,1.0501749325972698,1.1097412676488712,-0.00942378038256178,-9.42378038256178,0.20734356487405645,7.178321367798466,6.102159264184241,-0.02200216436046568,-0.7617241782375976,-0.6475277453914324,28.130077905236153,0.2247008879258091,1
000000,0.0063363122753798,3,2816.709009497122,2822.9999530792243,1.0936489979955764,1.0676074020421824,0.012401454814195901,12.401454814195901,10.018688198582367,1.622933329128109,7.12657391018533,0.8078639440845288,0.13086636636133553,0.5746562816184733,28.023162809132163,0.07493380937059303,2
000000,0.0063363122753798,4,2866.303001911963,2872.999934005738,1.0671843561146115,1.0840203264853399,-0.003238268161841813,-3.238268161841813,-2.5825904214405173,-0.41371850585152065,1.9093046904561959,0.7975220989640435,0.12775918644619355,-0.5896067265072484,27.120052002136255,0.1917056112291464,3
000000,0.0063363122753798,5,2898.999924087525,2904.940258772472,1.072881367681488,1.1060628394154413,-0.006409582076165283,-6.409582076165283,5.192063126776983,-0.9050280798936541,3.647759182466148,-0.81004706158366,0.14119923407472976,-0.5691103006591851,28.06623681260474,0.18445131101919005,5
000000,0.0063363122753798,6,2945.56898315595,2951.999903869629,1.078491481402458,1.1043626077247084,-0.010333150219979948,-10.333150219979949,0.2240916539018757,-8.92541202316514,-5.2019992902789145,-0.021686673389164232,0.8637648571010962,0.5034282072296253,28.132144453409587,0.08899789908965175,6
000000,0.0063363122753798,7,2982.999892044068,2989.429982117626,1.0837175116074234,1.1182606190105242,-0.0054323645923232715,-5.432364592323271,0.11767024357291055,-4.638246949923754,2.8254918172290058,-0.02166096210464148,0.8538173149273298,-0.5201219044137502,28.095118147987765,0.22632974301272646,7
000000,0.0063363122753798,8,3026.9998752593997,3033.8853034551807,1.0480115658090121,1.0587589411975975,-0.0067086661228059246,-6.708666122805925,0.14531616265879121,-5.727975295718094,3.4893241998698272,-0.02166096210464148,0.8538173149273298,-0.5201219044137502,28.095118147987765,0.05702107191365923,7
000001,0.0776967909187078,1,2715.9999938964847,2720.771614496614,1.0364657214263977,1.0565719302537988,-0.024701853864835914,-24.701853864835915,0.5466353525562646,19.120156162035585,-15.630176022374712,-0.02212932501128679,-0.774037295607756,0.6327531572286118,28.09438821489945,0.028972172444359887,0
000001,0.0776967909187078,2,2770.99997291565,2777.6248020826647,1.0501749325972698,1.1097412676488712,-0.00942378038256178,-9.42378038256178,0.20734356487405645,7.178321367798466,6.102159264184241,-0.02200216436046568,-0.7617241782375976,-0.6475277453914324,28.130077905236153,0.2247008879258091,1
000001,0.0776967909187078,3,2816.709009497122,2822.9999530792243,1.0936489979955764,1.0676074020421824,0.012401454814195901,12.401454814195901,10.018688198582367,1.622933329128109,7.12657391018533,0.8078639440845288,0.13086636636133553,0.5746562816184733,28.023162809132163,0.07493380937059303,2
000001,0.0776967909187078,4,2866.303001911963,2872.999934005738,1.0671843561146115,1.0840203264853399,-0.003238268161841813,-3.238268161841813,-2.5825904214405173,-0.41371850585152065,1.9093046904561959,0.7975220989640435,0.12775918644619355,-0.5896067265072484,27.120052002136255,0.1917056112291464,3
000001,0.0776967909187078,5,2898.999924087525,2904.940258772472,1.072881367681488,1.1060628394154413,-0.006409582076165283,-6.409582076165283,5.192063126776983,-0.9050280798936541,3.647759182466148,-0.81004706158366,0.14119923407472976,-0.5691103006591851,28.06623681260474,0.18445131101919005,5
000001,0.0776967909187078,6,2945.56898315595,2951.999903869629,1.078491481402458,1.1043626077247084,-0.010333150219979948,-10.333150219979949,0.2240916539018757,-8.92541202316514,-5.2019992902789145,-0.021686673389164232,0.8637648571010962,0.5034282072296253,28.132144453409587,0.08899789908965175,6
000001,0.0776967909187078,7,2982.999892044068,2989.429982117626,1.0837175116074234,1.1182606190105242,-0.0054323645923232715,-5.432364592323271,0.11767024357291055,-4.638246949923754,2.8254918172290058,-0.02166096210464148,0.8538173149273298,-0.5201219044137502,28.095118147987765,0.22632974301272646,7
000001,0.0776967909187078,8,3026.9998752593997,3033.8853034551807,1.0480115658090121,1.0587589411975975,-0.0067086661228059246,-6.708666122805925,0.14531616265879121,-5.727975295718094,3.4893241998698272,-0.02166096210464148,0.8538173149273298,-0.5201219044137502,28.095118147987765,0.05702107191365923,7
000002,0.1455139373429119,1,2715.9999938964847,2720.771614496614,1.0364657214263977,1.0565719302537988,-0.024701853864835914,-24.701853864835915,0.5466353525562646,19.120156162035585,-15.630176022374712,-0.02212932501128679,-0.774037295607756,0.6327531572286118,28.09438821489945,0.028972172444359887,0
000002,0.1455139373429119,2,2770.99997291565,2777.6248020826647,1.0501749325972698,1.1097412676488712,-0.00942378038256178,-9.42378038256178,0.20734356487405645,7.178321367798466,6.102159264184241,-0.02200216436046568,-0.7617241782375976,-0.6475277453914324,28.130077905236153,0.2247008879258091,1
000002,0.1455139373429119,3,2816.709009497122,2822.9999530792243,1.0936489979955764,1.0676074020421824,0.012401454814195901,12.401454814195901,10.018688198582367,1.622933329128109,7.12657391018533,0.8078639440845288,0.13086636636133553,0.5746562816184733,28.023162809132163,0.07493380937059303,2
000002,0.1455139373429119,4,2866.303001911963,2872.999934005738,1.0671843561146115,1.0840203264853399,-0.003238268161841813,-3.238268161841813,-2.5825904214405173,-0.41371850585152065,1.9093046904561959,0.7975220989640435,0.12775918644619355,-0.5896067265072484,27.120052002136255,0.1917056112291464,3
