batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_02,peak_02_ref,peak_02_freq_mhz,peak_03,peak_03_ref,peak_03_freq_mhz,peak_04,peak_04_ref,peak_04_freq_mhz,peak_05,peak_05_ref,peak_05_freq_mhz,peak_06,peak_06_ref,peak_06_freq_mhz,peak_07,peak_07_ref,peak_07_freq_mhz,peak_08,peak_08_ref,peak_08_freq_mhz,peak_09,peak_09_ref,peak_09_freq_mhz,peak_10,peak_10_ref,peak_10_freq_mhz,peak_11,peak_11_ref,peak_11_freq_mhz,peak_12,peak_12_ref,peak_12_freq_mhz,peak_13,peak_13_ref,peak_13_freq_mhz,peak_14,peak_14_ref,peak_14_freq_mhz,peak_15,peak_15_ref,peak_15_freq_mhz,peak_16,peak_16_ref,peak_16_freq_mhz,delta_f_mhz_b01,f_new_mhz_b01,delta_f_mhz_b02,f_new_mhz_b02,delta_f_mhz_b03,f_new_mhz_b03,delta_f_mhz_b04,f_new_mhz_b04,delta_f_mhz_b05,f_new_mhz_b05,delta_f_mhz_b06,f_new_mhz_b06,delta_f_mhz_b07,f_new_mhz_b07,delta_f_mhz_b08,f_new_mhz_b08
0,0.008643999695777893,1778516189.5125928,0.016505416948348284,6736.365757862883,6742.237379649724,2763.023746575854,6740.254760522053,6745.01784087783,2772.8847172577803,6750.398916465446,6754.392878320138,2798.771433818544,6756.919960570956,6757.953898584834,2810.3174267559225,6757.505844056606,6757.8798331142825,2834.976420536601,6761.698679585536,6757.39699697405,2847.168405411039,6736.801023932511,6740.302133447444,2869.1346751194783,6744.697172723661,6749.570050738148,2875.5616379295775,6743.146092245623,6745.438345508452,2874.991358913494,6745.354629091909,6748.650609774735,2886.5838794260317,6753.476004829294,6754.367273894306,2906.489025610305,6755.655523122534,6757.6786059235255,2917.9233134642295,6757.533124980897,6757.23137665434,2936.577714585426,6756.656310175138,6758.173628388911,2949.797683060056,6741.329516764985,6744.288554879725,2969.4552021316945,6745.161280068465,6748.972567778219,2979.576898157969,-0.07998301931724146,2767.842037658234,-0.5386452528624921,2803.429426735823,-0.8885950771604171,2838.0769224293977,0.2714856902596356,2872.432556650108,-0.972023840835414,2880.110768811342,-0.24015171806430247,2912.63456134338,-0.30755039871999795,2943.861858641567,-0.057663780964616516,2974.1766570211516
1,0.07975735410582274,1778516189.581679,0.012450208188965917,6738.2712137420895,6742.237379649724,2763.023746575854,6740.254760522053,6745.01784087783,2772.8847172577803,6750.398916465446,6754.392878320138,2798.771433818544,6756.919960570956,6757.953898584834,2810.3174267559225,6757.505844056606,6757.8798331142825,2834.976420536601,6761.698679585536,6757.39699697405,2847.168405411039,6736.801023932511,6740.302133447444,2869.1346751194783,6744.697172723661,6749.570050738148,2875.5616379295775,6743.146092245623,6745.438345508452,2874.991358913494,6745.354629091909,6748.650609774735,2886.5838794260317,6753.476004829294,6754.367273894306,2906.489025610305,6755.655523122534,6757.6786059235255,2917.9233134642295,6757.533124980897,6757.23137665434,2936.577714585426,6756.656310175138,6758.173628388911,2949.797683060056,6741.329516764985,6744.288554879725,2969.4552021316945,6745.161280068465,6748.972567778219,2979.576898157969,0.005460106502397749,2767.927480784054,-0.5386452528624921,2803.429426735823,-0.8885950771604171,2838.0769224293977,0.2714856902596356,2872.432556650108,-0.972023840835414,2880.110768811342,-0.24015171806430247,2912.63456134338,-0.30755039871999795,2943.861858641567,-0.057663780964616516,2974.1766570211516
2,0.15996493760030717,1778516189.6627169,0.014061874942854047,6738.356305590365,6742.582499923587,2763.023746575854,6741.564445089709,6746.1310603050415,2772.8847172577803,6751.6682259987165,6751.927403184889,2798.771433818544,6756.344284317021,6757.852758504753,2810.3174267559225,6755.387410214872,6755.462768591252,2834.976420536601,6762.332933948712,6760.527846379558,2847.168405411039,6736.58278876425,6741.7216981997135,2869.1346751194783,6745.993676070544,6749.839536021029,2875.5616379295775,6744.268802151787,6746.431683834092,2874.991358913494,6746.957662683009,6752.044058134913,2886.5838794260317,6756.161021792951,6755.399212947397,2906.489025610305,6759.711807317297,6760.802015771616,2917.9233134642295,6760.130872329368,6760.27293761653,2936.577714585426,6760.283270165356,6761.049400923066,2949.797683060056,6743.354873613107,6745.639219671731,2969.4552021316945,6744.696691322555,6750.608406944402,2979.576898157969,-0.015030105427195548,2767.906990572124,-0.06436646437006079,2803.9037055243157,-0.4992144227885692,2838.4663030837696,0.16167599091610335,2872.322746950764,-1.1260118031284443,2879.956780849049,-0.13147074909252526,2912.743242312352,-0.49583417522262735,2943.6735748650644,0.07607660470288931,2974.310397406819
3,0.23845645820256323,1778516189.739889,0.01147575001232326,6739.173979888132,6743.7607543478925,2763.023746575854,6742.204888895682,6748.356337683773,2772.8847172577803,6751.491988874286,6754.481443897668,2798.771433818544,6756.983465782314,6758.425657914845,2810.3174267559225,6757.03719931534,6756.545231836661,2834.976420536601,6761.41033102057,6761.278502002018,2847.168405411039,6737.429695571111,6741.551635235504,2869.1346751194783,6746.403160436469,6749.325002292387,2875.5616379295775,6741.8477672158215,6745.966754286763,2874.991358913494,6745.777157135433,6750.434887061771,2886.5838794260317,6755.403774795978,6756.983187639453,2906.489025610305,6758.370162300943,6759.296975578445,2917.9233134642295,6757.006777821928,6757.828561604059,2936.577714585426,6758.939302197634,6760.401005593421,2949.797683060056,6743.179992053061,6747.282264571935,2969.4552021316945,6746.595863006999,6749.907248525233,2979.576898157969,0.0397718533439773,2767.9617925308953,-0.37948355231906583,2803.5885884363665,-0.18727859778951272,2838.778238908769,0.16555953721832517,2872.3266304970666,-0.9345418469869594,2880.1482508051904,-0.509346201633797,2912.3653668598104,-0.4933749689678673,2943.676034071319,-0.1368379161381498,2974.097482885978
4,0.30931689555291086,1778516189.810941,0.01185837504453957,6738.911322859676,6743.738796344408,2763.023746575854,6744.171814347281,6747.8366292753,2772.8847172577803,6751.390601216493,6752.28350551701,2798.771433818544,6755.900041262951,6757.569121557599,2810.3174267559225,6755.175908549072,6756.573481676193,2834.976420536601,6761.185880429135,6759.118395635296,2847.168405411039,6737.641226273804,6741.877138796345,2869.1346751194783,6745.969951401414,6749.986803496652,2875.5616379295775,6742.833497875722,6746.3331784699085,2874.991358913494,6744.437213069657,6749.830707277562,2886.5838794260317,6756.117197481432,6756.03668429257,2906.489025610305,6758.634553901642,6760.70456796161,2917.9233134642295,6759.747009200111,6758.837714338112,2936.577714585426,6762.648027019592,6760.2214597915445,2949.797683060056,6742.8724974783745,6746.62574655378,2969.4552021316945,6746.630551395299,6750.923321209157,2979.576898157969,-0.08240982582107893,2767.83961085173,-0.11770087275891296,2803.8503711159265,-0.7199557311818325,2838.2455617753762,0.20595356683149693,2872.3670245266794,-1.0434149524376903,2880.03937769974,-0.08653618346798936,2912.788176877976,-0.8329848079025907,2943.3364242323846,-0.07276142617583298,2974.16155937594
5,0.3846473125740886,1778516189.886183,0.011680624913424253,6749.874070055323,6738.15722560137,2763.023746575854,6743.111361066112,6741.707075832137,2772.8847172577803,6747.818213772656,6752.716390561482,2798.771433818544,6755.833664455788,6757.772838279792,2810.3174267559225,6757.867955497141,6758.852060091083,2834.976420536601,6758.410992756059,6761.508813460893,2847.168405411039,6762.312904606169,6739.8219549469695,2869.1346751194783,6741.072326313537,6747.224079224868,2875.5616379295775,6750.385551853775,6743.454658128801,2874.991358913494,6744.583279334902,6746.267020203564,2886.5838794260317,6751.330687410215,6755.5155011156285,2906.489025610305,6756.789974630927,6757.861342727023,2917.9233134642295,6758.899657670326,6757.245580279366,2936.577714585426,6757.254800256747,6760.306409511873,2949.797683060056,6760.929308921967,6742.718279487728,2969.4552021316945,6747.290128984931,6746.467684995567,2979.576898157969,0.4325552591006742,2768.354575936652,-0.5387151452655881,2803.42935684342,0.05667751519698637,2839.022195021755,1.3963136070809412,2873.557384566929,-1.583759277777469,2879.4990333744,-0.8807459727061063,2911.9939670887384,0.14701832770691325,2944.316427367994,0.7403100283843911,2974.9746308305007
6,0.46366835408844054,1778516189.965089,0.011452042032033205,6739.446455970903,6742.333354219518,2763.023746575854,6742.482007824678,6749.891203349939,2772.8847172577803,6752.668980957913,6754.548266956018,2798.771433818544,6756.474244276676,6758.311747715254,2810.3174267559225,6757.800221597335,6757.427928905461,2834.976420536601,6761.008891402023,6759.073429715439,2847.168405411039,6736.9795045389255,6740.446520157716,2869.1346751194783,6745.687682244706,6748.820458782897,2875.5616379295775,6743.657378427117,6746.85653941376,2874.991358913494,6746.1079820888235,6749.097172723659,2886.5838794260317,6754.088235473912,6754.946743283307,2906.489025610305,6756.940269584619,6756.399243512547,2917.9233134642295,6757.548616926979,6758.08824922823,2936.577714585426,6758.654587828957,6759.145598618455,2949.797683060056,6743.532570223431,6745.852944952167,2969.4552021316945,6744.328237613474,6750.125659443103,2979.576898157969,0.17222428548413096,2768.094244963035,-0.20986551375891768,2803.7582064749267,-0.45507634237432615,2838.5104411641837,0.2012400693038491,2872.362311029152,-0.8745649296517164,2880.208227722526,-0.6220409800145357,2912.25267208143,-0.6017615042104738,2943.5676475360765,0.06885484727334602,2974.3031756493897
7,0.5645060206297785,1778516190.065844,0.01128629082813859,6738.1944463123145,6741.869619769539,2763.023746575854,6741.67867622337,6747.918948864504,2772.8847172577803,6753.636500901672,6755.148652076901,2798.771433818544,6758.399689763732,6758.572850505855,2810.3174267559225,6757.502454381513,6756.644866583122,2834.976420536601,6758.93035119357,6759.161802732524,2847.168405411039,6736.348187486627,6739.589826389949,2869.1346751194783,6744.330288535013,6746.515789956291,2875.5616379295775,6741.207410520525,6743.836251795702,2874.991358913494,6744.689889048508,6748.21755662194,2886.5838794260317,6752.9655790567585,6752.621404774276,2906.489025610305,6756.479061344256,6756.953647950606,2917.9233134642295,6756.103244490632,6758.455752361157,2936.577714585426,6759.8684216156735,6761.748881315524,2949.797683060056,6744.995283797415,6746.0257098756,2969.4552021316945,6746.352024941162,6750.8164547482975,2979.576898157969,0.08459126702806141,2768.006611944579,-0.35591542666194237,2803.6121565620238,-0.08578411772838368,2838.8797333888297,0.17152939371194018,2872.33260035356,-0.9635552030843136,2880.119237449093,-0.28726740282817853,2912.587445658616,-0.6685872774100423,2943.500821762877,0.066799080711064,2974.301119882827
8,0.6877742286305875,1778516190.189114,0.011289124842733145,6737.088458599504,6742.130724088395,2763.023746575854,6740.218008986153,6745.71935079622,2772.8847172577803,6752.482340984809,6754.162676895804,2798.771433818544,6756.662786930341,6755.3729483143325,2810.3174267559225,6757.183157074303,6757.34584466791,2834.976420536601,6760.3217318213765,6759.834810648899,2847.168405411039,6736.8090564538315,6739.755992297582,2869.1346751194783,6744.747310266835,6748.347345416756,2875.5616379295775,6742.89144022985,6745.500765656997,2874.991358913494,6745.835182015466,6751.211478741939,2886.5838794260317,6753.626079713909,6754.3571384906945,2906.489025610305,6756.050981141304,6757.90482318061,2917.9233134642295,6756.50316043647,6757.999008160894,2936.577714585426,6760.469696182413,6760.762565333008,2949.797683060056,6740.939771372681,6744.2856802274055,2969.4552021316945,6744.223350246049,6749.422333954824,2979.576898157969,-0.00973186211791539,2767.9122888154334,-0.539713029079045,2803.4283589596066,-0.3278937183956661,2838.6376237881627,0.24193442584814995,2872.4030053856964,-1.113441925196068,2879.9693507269812,-0.24151176302693847,2912.633201298417,-0.7836037152378471,2943.385805325049,-0.009452278053369357,2974.224868524063
9,0.7706148540601134,1778516190.27227,0.01192170800641179,6738.275939114223,6742.962580615582,2763.023746575854,6741.346755509367,6747.724303878717,2772.8847172577803,6752.272972766451,6753.486889079072,2798.771433818544,6757.391906348382,6755.957162942813,2810.3174267559225,6757.814412996302,6757.035473912646,2834.976420536601,6761.242063758902,6760.199306171102,2847.168405411039,6736.893847235381,6740.224638567105,2869.1346751194783,6744.7212901549665,6749.666639667451,2875.5616379295775,6741.810901060611,6745.94560167497,2874.991358913494,6743.8364657517495,6748.9987346028065,2886.5838794260317,6754.286331265091,6755.476872879543,2906.489025610305,6756.895965400251,6759.137773940153,2917.9233134642295,6758.152327536142,6757.195291438702,2936.577714585426,6759.784590579821,6761.31936455054,2949.797683060056,6742.103809945899,6746.2582021579,2969.4552021316945,6745.753383562062,6749.672903994865,2979.576898157969,0.045425995002409264,2767.9674466725537,-0.5034796168314624,2803.464592371854,-0.27412576796352156,2838.6913917385946,0.2814905648746786,2872.442561524723,-0.9738714451796173,2880.108921206998,-0.2523689033983515,2912.622344158046,-0.2016792560926412,2943.9677297841945,-0.1100657144160705,2974.1242550877
